id_distrito,id_delegacion,id_seccion,tipo_casilla,clave_mdc,id_tipo_eleccion,tipo_acta,votos_part_1,votos_part_2,votos_part_3,votos_part_4,votos_part_5,votos_part_6,votos_part_7,votos_part_8,votos_part_9,votos_part_10,votos_part_11,votos_part_12,total_votos_cc1,total_votos_cc2,total_votos_cc3,votos_nulos,votacion_total,boletas_sob,ciu_votaron,boletas_extraidas,id_usuario,fecha_alta,fecha_modif,estatus
1,5,823,C1,823-C1,1,1,15,27,183,16,5,6,6,0,14,75,0,0,46,280,0,6,353,288,352,352,123,01/07/2012 20:44,01/07/2012 20:44,T
1,5,823,C1,823-C1,2,1,10,31,188,14,7,3,9,0,9,71,0,0,47,276,0,10,352,288,352,0,1,01/07/2012 20:45,01/07/2012 21:02,T
1,5,823,C1,823-C1,3,1,20,48,154,15,9,9,9,0,0,68,0,0,0,246,0,20,352,288,352,352,123,01/07/2012 20:45,01/07/2012 20:45,T
1,5,854,C2,854-C2,1,1,45,46,147,19,6,8,7,0,21,55,0,0,73,229,0,4,358,202,358,358,123,01/07/2012 21:07,01/07/2012 21:07,T
1,5,854,C2,854-C2,2,1,45,45,145,22,6,8,10,0,14,56,0,0,65,231,0,8,359,202,359,359,123,01/07/2012 21:07,01/07/2012 21:07,T
1,5,854,C2,854-C2,3,1,53,61,119,18,11,9,16,0,0,51,0,0,0,197,0,21,359,202,359,359,123,01/07/2012 21:08,01/07/2012 21:08,T
1,5,857,C1,857-C1,1,1,24,41,178,22,6,8,3,0,10,57,0,0,57,265,0,7,356,203,317,316,123,01/07/2012 20:57,01/07/2012 20:57,T
1,5,857,C1,857-C1,2,1,33,38,128,21,9,6,11,0,8,53,0,0,55,208,0,9,316,316,316,316,123,01/07/2012 20:57,01/07/2012 20:57,T
1,5,857,C1,857-C1,3,1,30,49,109,24,18,7,12,0,0,52,0,0,0,192,0,15,316,316,316,0,123,01/07/2012 20:59,01/07/2012 20:59,T
1,5,828,C1,828-C1,1,1,24,37,108,15,3,5,4,0,12,52,0,0,52,180,0,5,265,240,291,265,123,01/07/2012 21:13,01/07/2012 21:13,T
1,5,828,C1,828-C1,2,1,16,41,101,14,5,8,9,0,11,57,0,0,57,180,0,4,266,240,291,266,123,01/07/2012 21:13,01/07/2012 21:13,T
1,5,828,C1,828-C1,3,1,19,51,90,17,8,4,15,0,0,45,0,0,0,156,0,16,265,240,291,265,123,01/07/2012 21:14,01/07/2012 21:14,T
1,5,854,B,854-B,1,1,50,38,137,20,7,12,3,0,14,40,0,0,59,209,0,7,328,229,330,328,123,01/07/2012 21:22,01/07/2012 21:22,T
1,5,854,B,854-B,2,1,45,37,140,19,9,11,6,0,14,34,0,0,60,204,0,14,329,229,330,329,123,01/07/2012 21:23,01/07/2012 21:23,T
1,5,854,B,854-B,3,1,51,49,113,18,12,11,9,0,0,35,0,0,0,177,0,29,327,229,330,327,123,01/07/2012 21:23,01/07/2012 21:23,T
1,5,854,C1,854-C1,1,1,37,55,156,11,3,10,4,0,10,51,0,0,68,228,0,4,341,207,347,347,123,01/07/2012 21:25,01/07/2012 21:25,T
1,5,854,C1,854-C1,2,1,40,48,150,15,7,5,10,0,9,48,0,0,64,218,0,7,339,207,339,339,123,01/07/2012 21:25,01/07/2012 21:25,T
1,5,854,C1,854-C1,3,1,41,58,126,21,11,9,15,0,0,38,0,0,0,194,0,21,340,207,340,340,123,01/07/2012 21:26,01/07/2012 21:26,T
1,5,857,B,857-B,1,1,30,46,157,15,7,4,3,0,13,46,0,0,66,222,0,9,330,190,330,330,123,01/07/2012 21:27,01/07/2012 21:27,T
1,5,857,B,857-B,2,1,37,47,144,13,9,5,5,0,13,47,0,0,69,209,0,10,330,190,330,330,123,01/07/2012 21:27,01/07/2012 21:27,T
1,5,857,B,857-B,3,1,41,58,126,14,20,8,4,0,0,42,0,0,0,190,0,26,339,190,338,338,123,01/07/2012 21:28,01/07/2012 21:28,T
1,5,861,B,861-B,1,1,42,41,192,24,5,16,11,0,16,80,0,0,62,312,0,9,436,274,436,436,123,01/07/2012 21:16,01/07/2012 21:16,T
1,5,861,B,861-B,2,1,50,43,174,21,7,21,13,0,16,76,0,0,66,292,0,15,436,274,436,436,123,01/07/2012 21:17,01/07/2012 21:17,T
1,5,861,B,861-B,3,1,68,65,156,18,13,15,19,0,0,69,0,0,0,258,0,13,436,274,436,436,123,01/07/2012 21:17,01/07/2012 21:17,T
1,5,919,C1,919-C1,1,1,38,46,195,28,5,14,5,0,11,58,0,0,62,295,0,3,403,262,404,404,123,01/07/2012 21:31,01/07/2012 21:31,T
1,5,922,B,922-B,1,1,28,35,221,16,5,6,5,0,15,84,0,0,55,327,0,9,424,276,424,424,123,01/07/2012 21:29,01/07/2012 21:29,T
1,5,922,B,922-B,2,1,31,38,208,15,4,10,13,0,14,79,0,0,56,312,0,13,425,275,425,425,123,01/07/2012 21:30,01/07/2012 21:30,T
1,5,922,B,922-B,3,1,30,48,185,19,11,13,15,0,0,77,0,0,0,294,0,26,424,276,424,424,123,01/07/2012 21:30,01/07/2012 21:30,T
1,5,841,C2,841-C2,1,1,32,56,159,11,12,11,4,0,22,68,0,0,90,249,0,13,388,284,388,388,123,01/07/2012 21:38,01/07/2012 21:38,T
1,5,841,C2,841-C2,2,1,24,54,157,17,13,14,10,0,19,67,0,0,86,255,0,12,387,284,387,387,123,01/07/2012 21:38,01/07/2012 21:38,T
1,5,841,C2,841-C2,3,1,29,67,137,18,16,12,12,0,0,10,0,0,0,177,0,27,328,284,388,388,123,01/07/2012 21:39,01/07/2012 21:39,T
1,5,862,B,862-B,1,1,55,70,160,18,3,6,2,0,16,53,0,0,89,237,0,4,387,219,387,387,123,01/07/2012 21:32,01/07/2012 21:32,T
1,5,862,B,862-B,2,1,63,55,156,19,8,13,6,0,15,43,0,0,78,231,0,7,385,219,387,387,123,01/07/2012 21:33,01/07/2012 21:33,T
1,5,862,B,862-B,3,1,66,65,131,19,13,11,9,0,0,43,0,0,0,204,0,30,387,219,387,387,123,01/07/2012 21:33,01/07/2012 21:33,T
1,5,880,B,880-B,1,1,13,33,154,12,5,11,5,0,14,78,0,0,52,255,0,6,331,331,331,331,123,01/07/2012 21:35,01/07/2012 21:35,T
1,5,880,B,880-B,2,1,14,32,148,15,8,7,8,0,12,76,0,0,52,246,0,11,331,331,331,331,123,01/07/2012 21:35,01/07/2012 21:35,T
1,5,880,B,880-B,3,1,20,41,127,14,12,11,12,0,0,68,0,0,0,220,0,26,331,331,331,331,123,01/07/2012 21:35,01/07/2012 21:35,T
1,5,882,C1,882-C1,1,1,19,32,158,12,5,6,1,0,15,49,0,0,52,225,0,10,307,223,309,307,123,01/07/2012 21:40,01/07/2012 21:40,T
1,5,882,C1,882-C1,2,1,26,30,157,12,8,7,3,0,13,42,0,0,51,218,0,11,309,221,309,309,123,01/07/2012 21:40,01/07/2012 21:40,T
